author,content,timestamp
Mudae,"
Futaba Sakura
Persona 5 <:female:452463537508450304>
*Game & Animanga* · **431**<:kakera:469835869059153940>
Claim Rank: #146
Like Rank: #193
Oracle (P5) (+9)
2 / 43",2025-02-19 05:19:16.983000+00:00
heba_45850,$im Futaba Sakura,2025-02-19 05:19:16.842000+00:00
Mudae,"
Futaba Sakura
Persona 5 <:female:452463537508450304>
*Game & Animanga* · **431**<:kakera:469835869059153940>
Claim Rank: #146
Like Rank: #193
Oracle (P5) (+9)
6 / 43",2025-02-19 05:17:33.844000+00:00
heba_45850,$im Futaba Sakura,2025-02-19 05:17:33.708000+00:00
Mudae,"
Futaba Sakura
Persona 5 <:female:452463537508450304>
*Game & Animanga* · **431**<:kakera:469835869059153940>
Claim Rank: #146
Like Rank: #193
Oracle (P5) (+9)
1 / 43",2025-02-19 05:15:43.476000+00:00
heba_45850,$im Futaba Sakura,2025-02-19 05:15:43.360000+00:00
Mudae,"
Futaba Sakura
Persona 5 <:female:452463537508450304>
*Game & Animanga* · **431**<:kakera:469835869059153940>
Claim Rank: #146
Like Rank: #193
Oracle (P5) (+9)
4 / 43",2025-02-19 05:11:20.769000+00:00
heba_45850,$im Futaba Sakura,2025-02-19 05:11:20.695000+00:00
Mudae,"
🏆 TOP 1000
**#991** - **Rohan Kishibe** - JoJo's Bizarre Adventure: Diamond Is Unbreakable · **183** ka
**#992** - **Sae Niijima** - Persona 5 · **136** ka
**#993** - **Kou Minamoto** - Jibaku Shounen Hanako-kun · **176** ka
**#994** - **Melascula** - Nanatsu no Taizai · **122** ka
**#995** - **Kisuke Urahara** - BLEACH · **178** ka
**#996** - **Ougi Oshino** - Monogatari · **129** ka
**#997** - **Seras Victoria** - Hellsing · **155** ka
**#998** - **Sesshomaru** - InuYasha · **174** ka
**#999** - **Kyuusaku Yumeno** - Bungou Stray Dogs · **111** ka
**#1000** - **Yuna (SAO)** - Sword Art Online · **119** ka
Page 67 / 67",2025-02-19 05:06:08.897000+00:00
heba_45850,$topku,2025-02-19 05:06:08.535000+00:00
