rank,character,series,kakera,pg,maxpg
1,Zero Two,DARLING in the FRANXX,1042,1,67
2,Rem,Re:Zero kara Hajimeru Isekai Seikatsu,1032,1,67
3,Hatsune Miku,VOCALOID,992,1,67
4,Megumin,Kono Subarashii Sekai ni Shukufuku wo!,1016,1,67
5,Mai Sakurajima,Seishun Buta Yarou,951,1,67
6,Rias Gremory,High School DxD,982,1,67
7,Satoru Gojo,Jujutsu Kaisen,996,1,67
8,Power,Chainsaw Man,951,1,67
9,Saber,Fate/stay night,955,1,67
10,Nami,One Piece,973,1,67
11,Asuna,Sword Art Online,973,1,67
12,Mikasa Ackerman,Attack on Titan,938,1,67
13,Nezuko Kamado,Kimetsu no Yaiba,942,1,67
14,Albedo,Overlord,894,1,67
15,Makima,Chainsaw Man,887,1,67
16,Miku Nakano,5-toubun no Hanayome,872,2,67
17,Nico Robin,One Piece,876,2,67
18,2B,NieR: Automata,832,2,67
19,Kirby,Kirby's Dream Land,772,2,67
20,Hange Zoë,Attack on Titan,734,2,67
21,Violet Evergarden,Violet Evergarden,835,2,67
22,Emilia,Re:Zero kara Hajimeru Isekai Seikatsu,855,2,67
23,Shinobu Kochou,Kimetsu no Yaiba,835,2,67
24,Aqua,Kono Subarashii Sekai ni Shukufuku wo!,862,2,67
25,Akame,Akame ga Kill!,832,2,67
26,Monkey D. Luffy,One Piece,902,2,67
27,Yumeko Jabami,Kakegurui,808,2,67
28,Marin Kitagawa,Sono Bisque Doll wa Koi wo Suru,737,2,67
29,Nino Nakano,5-toubun no Hanayome,751,2,67
30,Ram,Re:Zero kara Hajimeru Isekai Seikatsu,862,2,67
31,Himiko Toga,Boku no Hero Academia,782,3,67
32,Rin Tohsaka,Fate/stay night,751,3,67
33,Chika Fujiwara,Kaguya-sama wa Kokurasetai,769,3,67
34,Kaguya Shinomiya,Kaguya-sama wa Kokurasetai,749,3,67
35,Akeno Himejima,High School DxD,739,3,67
36,Esdeath,Akame ga Kill!,767,3,67
37,Kurumi Tokisaki,Date A Live,706,3,67
38,Roronoa Zoro,One Piece,826,3,67
39,Yor Forger,SPY×FAMILY,703,3,67
40,Nobara Kugisaki,Jujutsu Kaisen,695,3,67
41,Bongo Cat,Internet Cats,612,3,67
42,Erza Scarlet,Fairy Tail,708,3,67
43,Komi Shouko,"Komi-san wa, Comyushou desu.",671,3,67
44,Rei Ayanami,Neon Genesis Evangelion,673,3,67
45,Mitsuri Kanroji,Kimetsu no Yaiba,666,3,67
46,Levi,Attack on Titan,796,4,67
47,Asuka Langley Souryuu,Neon Genesis Evangelion,611,4,67
48,Hinata Hyuuga,Naruto,728,4,67
49,Gawr Gura,hololive,645,4,67
50,Ai Hayasaka,Kaguya-sama wa Kokurasetai,611,4,67
51,Yamato,One Piece,529,4,67
52,Maki Zenin,Jujutsu Kaisen,662,4,67
53,Sukuna,Jujutsu Kaisen,756,4,67
54,Shiro,No Game No Life,721,4,67
55,Boa Hancock,One Piece,619,4,67
56,Darkness,Kono Subarashii Sekai ni Shukufuku wo!,683,4,67
57,Yuji Itadori,Jujutsu Kaisen,710,4,67
